King,Jefferson,Clark,Kitsap,Thurston,Snohomish,Yakima,Island,Cowlitz,Stevens,Clallam,Klickitat,State Total
13121.0,133.0,1684.0,723,449.0,826.0,61.0,33.0,132.0,5.0,18.0,8.0,17193.0
13570.0,133.0,1735.0,755,465.0,856.0,64.0,35.0,141.0,5.0,18.0,9.0,17786.0
14146.0,135.0,1800.0,775,480.0,915.0,66.0,38.0,147.0,5.0,18.0,9.0,18534.0
14406.0,137.0,1829.0,784,484.0,937.0,66.0,38.0,151.0,5.0,18.0,9.0,18864.0
14580.0,140.0,1863.0,793,490.0,951.0,68.0,39.0,153.0,5.0,18.0,9.0,19109.0
15003.0,145.0,1918.0,813,503.0,974.0,72.0,42.0,156.0,5.0,18.0,10.0,19659.0
15275.0,146.0,1979.0,831,517.0,1001.0,72.0,43.0,160.0,5.0,18.0,10.0,20057.0
15610.0,149.0,2037.0,846,532.0,1033.0,77.0,43.0,162.0,5.0,20.0,10.0,20524.0
16001.0,151.0,2081.0,879,542.0,1058.0,79.0,44.0,169.0,6.0,20.0,10.0,21040.0
16312.0,154.0,2148.0,901,559.0,1076.0,80.0,45.0,173.0,6.0,20.0,10.0,21484.0
16664.0,155.0,2210.0,916,569.0,1104.0,82.0,46.0,176.0,6.0,20.0,10.0,21958.0
17235.0,156.0,2282.0,937,591.0,1143.0,82.0,48.0,183.0,6.0,20.0,10.0,22693.0
17454.0,160.0,2308.0,951,599.0,1159.0,82.0,49.0,185.0,6.0,20.0,10.0,22983.0
17762.0,161.0,2354.0,969,611.0,1178.0,83.0,49.0,191.0,6.0,21.0,12.0,23397.0
18482.0,166.0,2435.0,1001,635.0,1230.0,85.0,52.0,201.0,6.0,21.0,12.0,24326.0
18680.0,168.0,2476.0,1016,644.0,1243.0,86.0,53.0,203.0,6.0,21.0,12.0,24608.0
19049.0,173.0,2505.0,1039,655.0,1256.0,89.0,53.0,207.0,6.0,21.0,12.0,25065.0
19272.0,175.0,2530.0,1058,661.0,1274.0,90.0,54.0,210.0,6.0,21.0,12.0,25363.0
19368.0,176.0,2550.0,1063,663.0,1276.0,91.0,55.0,212.0,6.0,21.0,12.0,25493.0
19559.0,177.0,2582.0,1077,668.0,1289.0,92.0,55.0,215.0,6.0,21.0,12.0,25753.0
20059.0,183.0,2653.0,1103,689.0,1329.0,93.0,55.0,222.0,6.0,21.0,12.0,26425.0
20321.0,184.0,2693.0,1117,698.0,1341.0,97.0,56.0,225.0,7.0,21.0,12.0,26772.0
20587.0,188.0,2740.0,1135,708.0,1359.0,98.0,57.0,229.0,7.0,21.0,12.0,27141.0
20992.0,192.0,2792.0,1166,725.0,1386.0,98.0,57.0,232.0,7.0,22.0,12.0,27681.0
21468.0,203.0,2861.0,1197,747.0,1417.0,101.0,58.0,237.0,7.0,23.0,12.0,28331.0
21828.0,206.0,2924.0,1233,764.0,1434.0,102.0,60.0,243.0,7.0,25.0,12.0,28838.0
22395.0,213.0,3014.0,1261,782.0,1463.0,104.0,62.0,254.0,7.0,26.0,12.0,29593.0
22703.0,215.0,3078.0,1282,794.0,1490.0,109.0,66.0,263.0,7.0,27.0,13.0,30047.0
23039.0,216.0,3151.0,1304,817.0,1512.0,111.0,67.0,269.0,8.0,30.0,13.0,30537.0
23636.0,219.0,3252.0,1339,835.0,1552.0,120.0,69.0,280.0,8.0,31.0,14.0,31355.0
24090.0,225.0,3331.0,1376,860.0,1595.0,124.0,73.0,290.0,8.0,31.0,14.0,32017.0
24562.0,230.0,3418.0,1417,882.0,1630.0,131.0,75.0,298.0,8.0,31.0,14.0,32696.0
25252.0,234.0,3540.0,1459,910.0,1673.0,136.0,79.0,305.0,10.0,32.0,15.0,33645.0
25775.0,237.0,3624.0,1487,939.0,1699.0,140.0,81.0,318.0,10.0,32.0,15.0,34357.0
26243.0,243.0,3690.0,1517,960.0,1729.0,145.0,81.0,326.0,11.0,32.0,15.0,34992.0
26865.0,246.0,3790.0,1555,986.0,1770.0,150.0,82.0,337.0,12.0,33.0,16.0,35842.0
27487.0,251.0,3877.0,1582,1006.0,1818.0,152.0,87.0,345.0,12.0,33.0,16.0,36666.0
28087.0,254.0,3965.0,1619,1022.0,1873.0,158.0,87.0,350.0,12.0,34.0,17.0,37478.0
28680.0,258.0,4041.0,1651,1045.0,1900.0,162.0,90.0,353.0,13.0,34.0,17.0,38244.0
29222.0,263.0,4106.0,1677,1066.0,1939.0,167.0,90.0,359.0,13.0,35.0,17.0,38954.0
29805.0,270.0,4220.0,1716,1093.0,1983.0,172.0,91.0,369.0,13.0,37.0,17.0,39786.0
30669.0,276.0,4323.0,1755,1113.0,2047.0,178.0,93.0,380.0,14.0,37.0,17.0,40902.0
31291.0,282.0,4413.0,1783,1138.0,2080.0,183.0,96.0,392.0,14.0,37.0,17.0,41726.0
31940.0,290.0,4539.0,1826,1169.0,2127.0,189.0,100.0,402.0,15.0,40.0,18.0,42655.0
32761.0,296.0,4655.0,1868,1189.0,2192.0,197.0,102.0,414.0,17.0,40.0,19.0,43750.0
33508.0,304.0,4750.0,1914,1234.0,2248.0,204.0,107.0,418.0,18.0,42.0,20.0,44767.0
34143.0,309.0,4869.0,1951,1264.0,2282.0,211.0,108.0,436.0,18.0,42.0,20.0,45653.0
35337.0,317.0,4995.0,1985,1307.0,2358.0,219.0,111.0,447.0,18.0,43.0,20.0,47157.0
36372.0,326.0,5131.0,2034,1340.0,2444.0,225.0,113.0,459.0,19.0,45.0,20.0,48528.0
37315.0,331.0,5287.0,2076,1375.0,2522.0,232.0,115.0,475.0,20.0,45.0,20.0,49813.0
38408.0,339.0,5428.0,2124,1411.0,2607.0,239.0,120.0,484.0,22.0,47.0,20.0,51249.0
39303.0,348.0,5514.0,2161,1449.0,2690.0,247.0,127.0,493.0,22.0,48.0,20.0,52422.0
40348.0,353.0,5651.0,2215,1488.0,2778.0,253.0,129.0,506.0,23.0,51.0,22.0,53817.0
41894.0,365.0,5813.0,2269,1530.0,2857.0,259.0,132.0,521.0,24.0,51.0,23.0,55738.0
43240.0,374.0,5982.0,2319,1578.0,2976.0,267.0,135.0,535.0,24.0,53.0,24.0,57507.0
44918.0,384.0,6170.0,2384,1615.0,3090.0,276.0,137.0,558.0,25.0,55.0,24.0,59636.0
46223.0,395.0,6326.0,2427,1654.0,3205.0,281.0,140.0,567.0,25.0,55.0,24.0,61322.0
48073.0,405.0,6564.0,2496,1721.0,3357.0,292.0,144.0,590.0,26.0,59.0,25.0,63752.0
49449.0,413.0,6743.0,2574,1772.0,3455.0,300.0,149.0,611.0,26.0,60.0,27.0,65579.0
50835.0,419.0,6931.0,2639,1833.0,3592.0,306.0,153.0,622.0,27.0,63.0,27.0,67447.0
51869.0,425.0,7103.0,2711,1888.0,3685.0,317.0,153.0,644.0,29.0,65.0,27.0,68916.0
53088.0,438.0,7304.0,2779,1945.0,3776.0,326.0,159.0,662.0,29.0,66.0,28.0,70600.0
54853.0,455.0,7501.0,2843,1998.0,3909.0,331.0,168.0,679.0,29.0,69.0,29.0,72864.0
